title,director
The Godfather ,Francis Ford Coppola
Inception ,Christopher Nolan
Pulp Fiction ,Quentin Tarantino
Schindler's List ,Steven Spielberg
The Shawshank Redemption ,Frank Darabont
The Dark Knight ,Christopher Nolan
The Lord of the Rings: The Fellowship of the Ring ,Peter Jackson
Forrest Gump ,Robert Zemeckis
The Matrix ,Lana and Lilly Wachowski
Titanic ,James Cameron
The Silence of the Lambs ,Jonathan Demme
Goodfellas ,Martin Scorsese
Saving Private Ryan ,Steven Spielberg
Gladiator ,Ridley Scott
The Departed ,Martin Scorsese
Casablanca ,Michael Curtiz
The Social Network ,David Fincher
The Shining ,Stanley Kubrick
The Grand Budapest Hotel ,Wes Anderson
12 Angry Men ,Sidney Lumet
Interstellar ,Christopher Nolan
The Revenant ,Alejandro González Iñárritu
La La Land ,Damien Chazelle
The Great Gatsby ,Baz Luhrmann
Avatar ,James Cameron
The Usual Suspects ,Bryan Singer
The Godfather: Part II ,Francis Ford Coppola
The Green Mile ,Frank Darabont
Blade Runner ,Ridley Scott
Eternal Sunshine of the Spotless Mind ,Michel Gondry
